step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,rollout.reward/grade,test_set/mean_reward
1,1.266182541847229,0.737500011920929,,1.5311890859452506,0.6984126984126984,,,,,,
2,1.6018260717391968,0.7636363506317139,,1.147276494040418,0.746268656716418,,,,,,
3,1.6113862991333008,0.7105262875556946,,1.25934812757704,0.75,,,,,,
4,1.2700027227401733,0.7435897588729858,,1.4141040470289148,0.7391304347826086,,,,,,
5,1.743104338645935,0.7164179086685181,,1.6614142558613763,0.6885245901639344,,,,,,
6,1.64380943775177,0.7528089880943298,,1.0223682090027693,0.7808219178082192,,,,,,
7,1.241244912147522,0.7894737124443054,,1.0303490598436813,0.7464788732394366,,,,,,
8,1.1065906286239624,0.7558139562606812,,0.6939478257123162,0.8588235294117647,,,,,,
9,1.2702564001083374,0.7023809552192688,,1.2349519729614258,0.7407407407407407,,,,,,
10,0.7394270300865173,0.8113207817077637,,1.0419819695608956,0.7619047619047619,,,,,,
11,0.8974664807319641,0.7692307829856873,,1.521405869635983,0.7246376811594203,,,,,,
12,1.2468805313110352,0.7647058963775635,,0.8659059331658181,0.7752808988764045,,,,,,
13,0.7693895101547241,0.8732394576072693,,0.7142631427661793,0.7432432432432432,,,,,,
14,0.8978228569030762,0.7808219194412231,,0.6714182027180989,0.76,,,,,,
15,0.5804649591445923,0.8088235259056091,,0.7072236899173621,0.8181818181818182,,,,,,
16,0.6611989140510559,0.7866666913032532,,0.9774840756466514,0.7894736842105263,,,,,,
17,0.5394809246063232,0.7870370149612427,,0.7553259611129761,0.7625,,,,,,
18,0.8072216510772705,0.7605633735656738,,0.8991494826328608,0.7283950617283951,,,,,,
19,0.7948874235153198,0.7727272510528564,,0.6406262715657552,0.7536231884057971,,,,,,
20,0.4748322069644928,0.8358209133148193,,0.8784725387375076,0.7922077922077922,,,,,,
21,0.5809798836708069,0.8414633870124817,,0.3773481580946181,0.8472222222222222,,,,,,
22,0.5480326414108276,0.8275862336158752,,0.8130255699157715,0.75,,,,,,
23,0.5633110404014587,0.8676470518112183,,0.36173199444282345,0.8536585365853658,,,,,,
24,0.5187227129936218,0.7820512652397156,,0.30941446940104167,0.88,,,,,,
25,0.5336077213287354,0.8461538553237915,,0.5073891835040357,0.7831325301204819,,,,,,
26,0.47157377004623413,0.8421052694320679,,0.5562768543467802,0.8088235294117647,,,,,,
27,0.4164321720600128,0.8333333134651184,,0.6708113274923185,0.7804878048780488,,,,,,
28,0.5572506785392761,0.8548387289047241,,0.6358385953036222,0.7662337662337663,,,,,,
29,0.748468279838562,0.7846153974533081,,0.5490669044288429,0.8108108108108109,,,,,,
30,0.6614735722541809,0.767123281955719,,0.4208435331072126,0.8452380952380952,,,,,,
31,0.6059543490409851,0.8243243098258972,,0.5015478285532149,0.8095238095238095,,,,,,
32,0.5505574941635132,0.8024691343307495,,0.33705782890319824,0.8214285714285714,,,,,,
33,0.5286347270011902,0.8202247023582458,,0.4071816837086397,0.8588235294117647,,,,,,
34,0.7763166427612305,0.7340425252914429,,0.4824331283569336,0.8,,,,,,
35,0.4513327479362488,0.8840579986572266,,0.43802755306928587,0.8205128205128205,,,,,,
36,0.4196237325668335,0.868852436542511,,0.2727495829264323,0.9333333333333333,,,,,,
37,0.5733387470245361,0.8117647171020508,,0.26295881451300857,0.9433962264150944,,,,,,
38,0.5086549520492554,0.8169013857841492,,0.39400296333508616,0.8205128205128205,,,,,,
39,0.5749143958091736,0.8095238208770752,,0.47842283506651184,0.8648648648648649,,,,,,
40,0.4973151385784149,0.8313252925872803,,0.46945200880912885,0.821917808219178,,,,,,
41,0.4051605463027954,0.8809523582458496,,0.45632149743252115,0.8360655737704918,,,,,,
42,0.5064449906349182,0.8507462739944458,,0.4595879146030971,0.8412698412698413,,,,,,
43,0.5818963646888733,0.807692289352417,,0.4267477255601149,0.8557692307692307,,,,,,
44,0.6407861113548279,0.8354430198669434,,0.54081645482023,0.8028169014084507,,,,,,
45,0.577189028263092,0.8333333134651184,,0.4437065124511719,0.8369565217391305,,,,,,
46,0.5084046721458435,0.8656716346740723,,0.7383053370884487,0.7142857142857143,,,,,,
47,0.4147981107234955,0.8108108043670654,,0.5695821671258836,0.7777777777777778,,,,,,
48,0.3804784119129181,0.8939393758773804,,0.341568334778743,0.8805970149253731,,,,,,
49,0.39979416131973267,0.7719298005104065,,0.5353286531236436,0.8194444444444444,,,,,,
50,0.4218585789203644,0.8983050584793091,,0.5283158067343892,0.8115942028985508,,,,,,
51,0.4439711272716522,0.8536585569381714,,0.5708994943587506,0.8032786885245902,,,,,,
52,0.42490944266319275,0.8780487775802612,,0.512072550107355,0.8082191780821918,,,,,,
53,0.6501561403274536,0.7692307829856873,,0.6214078983790438,0.8169014084507042,,,,,,
54,0.588604748249054,0.8636363744735718,,0.30771331787109374,0.9058823529411765,,,,,,
55,0.3214607834815979,0.9340659379959106,,0.5890970583315249,0.7777777777777778,,,,,,
56,0.3684998154640198,0.8648648858070374,,0.5261590367271787,0.8214285714285714,,,,,,
57,0.5998992919921875,0.8125,,0.756412450818048,0.7681159420289855,,,,,,
58,0.5340594053268433,0.8275862336158752,,0.44167762927794724,0.8426966292134831,,,,,,
59,0.5011074542999268,0.8142856955528259,,0.47993703790613124,0.8378378378378378,,,,,,
60,0.3201512396335602,0.9041095972061157,,0.45625829060872397,0.84,,,,,,
61,0.5817524194717407,0.807692289352417,,0.4764258066813151,0.8939393939393939,,,,,,
62,0.547501266002655,0.7848101258277893,,0.7444130997908743,0.7631578947368421,,,,,,
63,0.4725794494152069,0.8494623899459839,,0.5446900606155396,0.825,,,,,,
64,0.7438415884971619,0.8125,,0.6090287573543596,0.8024691358024691,,,,,,
65,0.5238336324691772,0.8548387289047241,,0.42763610508130945,0.8405797101449275,,,,,,
66,0.6349805593490601,0.8217821717262268,,0.6325959540032721,0.7922077922077922,,,,,,
67,0.4616539180278778,0.8082191944122314,,0.3855968051486545,0.8888888888888888,,,,,,
68,0.29787370562553406,0.8974359035491943,,0.6496814409891765,0.8,,,,,,
69,0.5178015232086182,0.7719298005104065,,0.37049149303901485,0.9146341463414634,,,,,,
70,0.415780633687973,0.8765432238578796,,0.2858062744140625,0.9066666666666666,,,,,,
71,0.18248912692070007,0.9418604373931885,,0.43355633839067204,0.8313253012048193,,,,,,
72,0.3906303942203522,0.8656716346740723,,0.587348180658677,0.8382352941176471,,,,,,
73,0.37269511818885803,0.8500000238418579,,0.6059665214724657,0.8048780487804879,,,,,,
74,0.49534982442855835,0.7761194109916687,,0.6727820805140904,0.7922077922077922,,,,,,
75,0.27729329466819763,0.8701298832893372,,0.5910781911901526,0.8378378378378378,,,,,,
76,0.443575382232666,0.8404255509376526,,0.4063337871006557,0.8452380952380952,,,,,,
77,0.4671868681907654,0.8461538553237915,,0.43821177406916545,0.8253968253968254,,,,,,
78,0.7914527058601379,0.7903226017951965,,0.28147758756365093,0.875,,,,,,
79,0.4378548264503479,0.8507462739944458,,0.3901419471291935,0.8470588235294118,,,,,,
80,0.5463255047798157,0.7530864477157593,,0.4540482929774693,0.8285714285714286,,,,,,
81,0.40066251158714294,0.8108108043670654,,0.4290614983974359,0.7948717948717948,,,,,,
82,0.6361120343208313,0.8266666531562805,,0.3074474334716797,0.9166666666666666,,,,,,
83,0.5321798324584961,0.835616409778595,,0.25785838433031766,0.9245283018867925,,,,,,
84,0.4570203125476837,0.8518518805503845,,0.3571303930038061,0.8333333333333334,,,,,,
85,0.3116905987262726,0.9047619104385376,,0.4468155422726193,0.8783783783783784,,,,,,
86,0.32584771513938904,0.8787878751754761,,0.45754424839803615,0.8767123287671232,,,,,,
87,0.4078930914402008,0.8791208863258362,,0.49943320477595093,0.8360655737704918,,,,,,
88,0.5766410231590271,0.7640449404716492,,0.36578420608762713,0.873015873015873,,,,,,
89,0.35204941034317017,0.8641975522041321,,0.4145947236281175,0.9038461538461539,,,,,,
90,0.376043438911438,0.8965517282485962,,0.37069140689473756,0.9014084507042254,,,,,,
91,0.5248311161994934,0.8387096524238586,,0.44556031019791315,0.8478260869565217,,,,,,
92,0.35631829500198364,0.8630136847496033,,0.730297869727725,0.7428571428571429,,,,,,
93,0.44299912452697754,0.8591549396514893,,0.507298091101268,0.8095238095238095,,,,,,
94,0.3308371603488922,0.8714285492897034,,0.37940130660783,0.8656716417910447,,,,,,
95,0.4461129307746887,0.8484848737716675,,0.5229116810692681,0.8055555555555556,,,,,,
96,0.6048937439918518,0.804347813129425,,0.4442732990651891,0.8405797101449275,,,,,,
97,0.5499616265296936,0.8470588326454163,,0.5961433785860656,0.7704918032786885,,,,,,
98,0.3290463089942932,0.8888888955116272,,0.4557135595034247,0.821917808219178,,,,,,
99,0.42798393964767456,0.8783783912658691,,0.6423278593681228,0.8169014084507042,,,,,,
100,0.43701714277267456,0.8787878751754761,,0.287581028657801,0.8705882352941177,,,,,,
101,0.6004071831703186,0.7666666507720947,,0.5425502635814525,0.7962962962962963,,,,,,
102,0.5408561825752258,0.8157894611358643,,0.5377240635099865,0.8214285714285714,,,,,,
103,0.5521783828735352,0.8028169274330139,,0.6560652636099553,0.7971014492753623,,,,,,
104,0.6217916011810303,0.7840909361839294,,0.4322850945290555,0.8426966292134831,,,,,,
105,0.5057514309883118,0.7837837934494019,,0.5100542532431113,0.8378378378378378,,,,,,
106,0.40047499537467957,0.8205128312110901,,0.3921800994873047,0.8533333333333334,,,,,,
107,0.5785948038101196,0.8125,,0.47899754842122394,0.8787878787878788,,,,,,
108,0.2332800030708313,0.9038461446762085,,0.6510657762226305,0.7763157894736842,,,,,,
109,0.6976160407066345,0.7878788113594055,,0.5098436832427978,0.85,,,,,,
110,0.5897663235664368,0.790123462677002,,0.6403531674985532,0.7654320987654321,,,,,,
111,0.4441962242126465,0.8589743375778198,,0.4655252263165902,0.855072463768116,,,,,,
112,0.29395732283592224,0.9220778942108154,,0.5721910402372286,0.7922077922077922,,,,,,
113,0.3038988411426544,0.8783783912658691,,0.40769645902845597,0.8472222222222222,,,,,,
114,0.41473549604415894,0.8735632300376892,,0.6390253067016601,0.8166666666666667,,,,,,
115,0.4412119388580322,0.8586956262588501,,0.30248472167224416,0.8780487804878049,,,,,,
116,0.4345759153366089,0.8873239159584045,,0.25073404947916667,0.9066666666666666,,,,,,
117,0.3924955725669861,0.8518518805503845,,0.3772292769098856,0.8433734939759037,,,,,,
118,0.45772209763526917,0.8539325594902039,,0.5965169738320744,0.8382352941176471,,,,,,
119,0.309025377035141,0.8857142925262451,,0.651252839623428,0.8658536585365854,,,,,,
120,0.5599168539047241,0.8461538553237915,,0.6430915733436485,0.7922077922077922,,,,,,
121,0.5261412262916565,0.7887324094772339,,0.506018741710766,0.8243243243243243,,,,,,
122,0.564663290977478,0.7397260069847107,,0.34817334583827425,0.8809523809523809,,,,,,
123,0.701184868812561,0.7126436829566956,,0.4601630256289527,0.8253968253968254,,,,,,
124,0.3051135241985321,0.8860759735107422,,0.20662352016993932,0.9285714285714286,,,,,,
125,0.3282051980495453,0.8648648858070374,,0.3906590405632468,0.8705882352941177,,,,,,
126,0.5950110554695129,0.8374999761581421,,0.45016931806291854,0.8142857142857143,,,,,,
127,0.5733410120010376,0.796875,,0.4003774691850711,0.7948717948717948,,,,,,
128,0.33709296584129333,0.9066666960716248,,0.3384024937947591,0.8833333333333333,,,,,,
129,0.41220811009407043,0.8313252925872803,,0.2412133846642836,0.9245283018867925,,,,,,
130,0.33219268918037415,0.8450704216957092,,0.2931206532013722,0.8717948717948718,,,,,,
131,0.23548640310764313,0.9193548560142517,,0.4105076403231234,0.8513513513513513,,,,,,
132,0.4612483084201813,0.8372092843055725,,0.4178848789162832,0.9178082191780822,,,,,,
133,0.32797113060951233,0.8974359035491943,,0.5071404253850218,0.8688524590163934,,,,,,
134,0.4033605456352234,0.8405796885490417,,0.3090613228934152,0.8888888888888888,,,,,,
135,0.5082858204841614,0.84375,,0.39184852746816784,0.8846153846153846,,,,,,
136,0.432538777589798,0.8543689250946045,,0.3434833204242545,0.8450704225352113,,,,,,
137,0.3834373950958252,0.8999999761581421,,0.3921547972637674,0.8695652173913043,,,,,,
138,0.37745362520217896,0.8235294222831726,,0.7193851834251768,0.7523809523809524,,,,,,
139,0.5609549283981323,0.7951807379722595,,0.475864985632518,0.8095238095238095,,,,,,
140,0.5375685691833496,0.800000011920929,,0.2786293599142957,0.9104477611940298,,,,,,
141,0.5217362642288208,0.8059701323509216,,0.5002548694610596,0.8194444444444444,,,,,,
142,0.8087449669837952,0.7285714149475098,,0.5285050765327786,0.8260869565217391,,,,,,
143,0.2941393554210663,0.8939393758773804,,0.5863427021464364,0.7868852459016393,,,,,,
144,0.41876858472824097,0.8666666746139526,,0.4576616417871763,0.821917808219178,,,,,,
145,0.34480270743370056,0.9253731369972229,,0.6086461241816131,0.7887323943661971,,,,,,
146,0.5608838200569153,0.841269850730896,,0.3150499007281135,0.8941176470588236,,,,,,
147,0.43052950501441956,0.8529411554336548,,0.5234537124633789,0.8148148148148148,,,,,,
148,0.23813511431217194,0.9066666960716248,,0.4878582273210798,0.8214285714285714,,,,,,
149,0.4426001012325287,0.8714285492897034,,0.6498815011287081,0.7971014492753623,,,,,,
150,0.5859866142272949,0.8117647171020508,,0.4095084372531162,0.8651685393258427,,,,,,
151,0.2811543345451355,0.9032257795333862,,0.4650228603466137,0.8513513513513513,,,,,,
152,0.47113707661628723,0.8799999952316284,,0.3680534871419271,0.8666666666666667,,,,,,
153,0.5071456432342529,0.8636363744735718,,0.4127716295646899,0.8787878787878788,,,,,,
154,0.3948126435279846,0.8396226167678833,,0.6285331876654374,0.8026315789473685,,,,,,
155,0.3910878002643585,0.8840579986572266,,0.42569310665130616,0.85,,,,,,
156,0.4717139005661011,0.8064516186714172,,0.640880325694143,0.7901234567901234,,,,,,
157,0.27004316449165344,0.8904109597206116,,0.4527268340622169,0.855072463768116,,,,,,
158,0.44321200251579285,0.8522727489471436,,0.48892940174449573,0.8051948051948052,,,,,,
159,0.4618779420852661,0.8101266026496887,,0.4232969548967149,0.8194444444444444,,,,,,
160,0.38008490204811096,0.8607594966888428,,0.6328418413798015,0.8,,,,,,
161,0.6318737864494324,0.7894737124443054,,0.2919161028978301,0.8902439024390244,,,,,,
162,0.5063585638999939,0.9146341681480408,,0.2856792195638021,0.8933333333333333,,,,,,
163,0.34411343932151794,0.859375,,0.3403663175651826,0.8674698795180723,,,,,,
164,0.3870871365070343,0.8405796885490417,,0.5604922350715188,0.8529411764705882,,,,,,
165,0.4990808665752411,0.8181818127632141,,0.6126544533706293,0.8414634146341463,,,,,,
166,0.4903581142425537,0.8414633870124817,,0.5424955541437323,0.8181818181818182,,,,,,
167,0.35763663053512573,0.868852436542511,,0.45046633643073003,0.8648648648648649,,,,,,
168,0.43339940905570984,0.8387096524238586,,0.3939194679260254,0.8571428571428571,,,,,,
169,0.35201841592788696,0.8902438879013062,,0.44033943660675534,0.8412698412698413,,,,,,
170,0.5233511924743652,0.8611111044883728,,0.1904116698673793,0.9285714285714286,,,,,,
171,0.2729133367538452,0.9242424368858337,,0.4144456751206342,0.8588235294117647,,,,,,
172,0.3074581027030945,0.8983050584793091,,0.42586214882986884,0.8714285714285714,,,,,,
173,0.3491431772708893,0.8823529481887817,,0.33271095080253404,0.8589743589743589,,,,,,
174,0.4453744888305664,0.8428571224212646,,0.2539743105570475,0.9333333333333333,,,,,,
175,0.42001211643218994,0.8194444179534912,,0.2518924497208505,0.9056603773584906,,,,,,
176,0.46372467279434204,0.8589743375778198,,0.3163163111760066,0.8717948717948718,,,,,,
177,0.3914235234260559,0.8088235259056091,,0.45385157095419393,0.8648648648648649,,,,,,
178,0.4555649757385254,0.875,,0.42320617257732235,0.8904109589041096,,,,,,
179,0.3903748393058777,0.8450704216957092,,0.45932203824402856,0.8524590163934426,,,,,,
180,0.3288658857345581,0.8888888955116272,,0.36512335519942024,0.8571428571428571,,,,,,
181,0.46971839666366577,0.855555534362793,,0.3530837389139029,0.8846153846153846,,,,,,
182,0.2982867956161499,0.9154929518699646,,0.3897997627795582,0.8309859154929577,,,,,,
183,0.5197415351867676,0.8399999737739563,,0.3927974493607231,0.8478260869565217,,,,,,
